NumberDevice UserId Block Sequence NumberClicks NumberCircles CircleID DistanceCenter PixelStartCircleX PixelStartCircleY PixelEndCircleX PixelEndCircleY TargetWidth ElapsedTime MouseX MouseY
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 150
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 241
2 10 1 1 1 16 1 350 639 162 640 862 60 954 615 303
2 10 1 1 1 16 1 350 639 162 640 862 60 954 616 551
2 10 1 1 1 16 1 350 639 162 640 862 60 954 616 631
2 10 1 1 1 16 1 350 639 162 640 862 60 954 608 701
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 749
2 10 1 1 1 16 1 350 639 162 640 862 60 954 594 756
2 10 1 1 1 16 1 350 639 162 640 862 60 954 595 763
2 10 1 1 1 16 1 350 639 162 640 862 60 954 599 776
2 10 1 1 1 16 1 350 639 162 640 862 60 954 606 793
2 10 1 1 1 16 1 350 639 162 640 862 60 954 623 818
2 10 1 1 1 16 1 350 639 162 640 862 60 954 625 822
2 10 1 1 1 16 1 350 639 162 640 862 60 954 634 837
2 10 1 1 1 16 1 350 639 162 640 862 60 954 634 837
