NumberDevice UserId Block Sequence NumberClicks NumberCircles CircleID DistanceCenter PixelStartCircleX PixelStartCircleY PixelEndCircleX PixelEndCircleY TargetWidth ElapsedTime MouseX MouseY
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 648 158
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 642 164
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 629 229
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 629 228
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 630 227
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 632 226
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 632 226
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 635 229
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 635 234
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 636 241
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 636 251
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 635 269
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 632 293
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 626 354
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 623 392
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 617 438
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 612 489
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 606 540
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 597 631
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 597 631
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 591 708
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 589 740
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 587 766
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 584 791
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 582 812
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 580 831
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 578 846
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 576 868
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 576 876
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 577 883
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 578 889
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 581 893
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 584 896
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 593 900
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 593 900
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 602 900
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 606 899
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 610 897
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 619 890
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 619 890
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 628 883
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 633 880
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 636 877
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 638 875
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 640 875
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 642 874
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 645 872
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 645 871
0 1 1 1 1 16 1 350 639 162 640 862 60 1244 646 872
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 646 872
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 646 875
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 645 877
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 645 878
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 646 880
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 644 885
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 644 885
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 645 885
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 645 883
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 646 880
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 649 859
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 649 859
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 654 805
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 658 768
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 664 725
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 671 677
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 679 625
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 688 574
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 707 487
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 715 454
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 715 454
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 715 454
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 731 399
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 739 378
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 746 362
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 757 336
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 761 327
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 765 317
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 769 309
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 772 302
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 777 291
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 777 291
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 778 283
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 778 282
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 778 280
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 776 279
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 775 278
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 773 279
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 770 277
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 768 275
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 767 271
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 767 266
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 767 262
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 768 254
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 768 254
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 769 242
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 769 238
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 770 235
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 770 234
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 770 230
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 771 226
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 772 221
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 773 218
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 774 212
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 775 208
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 776 203
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 778 199
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 779 196
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 780 193
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 780 193
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 782 191
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 782 195
0 1 1 1 1 16 2 350 640 862 773 188 60 1590 781 197
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 781 197
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 781 200
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 779 205
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 778 218
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 778 223
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 776 229
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 775 238
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 773 247
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 770 259
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 767 274
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 764 288
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 756 326
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 756 326
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 742 379
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 733 414
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 721 454
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 694 542
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 679 589
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 664 634
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 649 674
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 635 708
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 623 735
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 610 757
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 589 787
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 579 797
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 569 804
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 558 811
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 547 814
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 538 815
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 519 819
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 519 819
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 502 823
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 495 825
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 490 825
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 484 828
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 484 828
0 1 1 1 1 16 3 350 773 188 506 835 60 1189 482 829
