"DeviceNumber" "UserId" "Block" "Sequence" "CircleID" "ErrorRate" "TRE" "TAC" "MDC" "ODC" "MV" "ME" "MO" "ClickPointX" "ClickPointY" "MovementTime" "TargetWidth" "Distance" "CalculatedDistance"
0 24 1 1 13 0 0 2 5 0 11.2153907658701 14.0724907249597 -12.3199612803035 697.846025738951 -9.99621730214545 0.977 60 700 692.361899587203
0 24 1 1 14 0.5 0 2 5 0 21.5648477598465 25.5985890012717 -24.9897991921601 661.400177334576 -14.1352545711401 0.902 60 700 662.881588219193
0 24 1 1 15 0 0 0 1 3 28.3468547773172 46.4317195943485 46.4317195943485 691.869405999734 13.5913590775718 1.04 60 700 676.017751246223
0 24 1 2 1 0 0 2 8 0 11.7611793926613 14.2698329189709 14.1650029919229 682.002249536612 0.96520826839605 1.346 60 700 690.00652170831
0 24 1 2 2 0.5 0 3 17 7 25.2286578510518 25.4230978625432 -22.7679809133546 687.00268375099 0.559033932120826 2.363 60 700 679.744069484979
0 24 1 2 3 0 0 3 13 4 21.4854599991518 21.7274291908762 -18.4224347043893 681.632954746335 15.3138827140713 1.826 60 700 687.154276709386
0 24 1 2 4 0 0 1 2 0 26.4948278922687 35.9327683193848 -33.1882181020429 710.834079841047 -9.21471304667125 1.437 60 700 685.534098349601
0 24 1 2 5 0 0 0 7 2 28.7893621826261 43.5820013898477 -43.5820013898477 697.559570355187 -12.5158222217638 1.684 60 700 686.011661708458
0 24 1 2 6 0 0 2 7 1 8.39415892064273 13.0402287713477 -12.9598527896196 700.407439433425 -12.3862337420385 0.96 60 700 695.449494931156
0 24 1 2 7 0 1 2 9 1 15.2991357769409 12.5181174455447 -5.3828299550489 662.580435696223 15.4972975903289 1.579 60 700 679.924995863514
0 24 1 2 8 0 0 1 5 4 42.6115260048779 48.1044549263287 -39.7716933735042 666.976015371735 -4.12248939872848 1.805 60 700 673.379536368607
0 24 1 2 9 0 0 0 10 4 20.5708692548449 37.1518653434788 -37.1518653434788 686.162724861091 -20.042829421093 1.562 60 700 692.01806334806
0 24 1 2 10 0 0 4 6 0 6.1898165953297 6.11734200473684 -4.60467085898915 655.746246112918 -7.40680152406796 1.383 60 700 671.274906428059
0 24 1 2 11 0 0 2 17 1 18.4251322631579 29.6645737532043 -29.5840595658156 671.103788550099 -2.77578704235108 1.621 60 700 672.24177198386
0 24 1 2 12 0 0 2 2 0 18.831523799372 18.9049647513401 16.0827129074845 660.084046717373 -6.08697537509545 0.96 60 700 668.969356547817
0 24 1 2 13 0 0 1 10 2 14.5649380119072 25.5679397486931 -25.349290626985 688.145597514099 -0.797885934371834 1.202 60 700 693.081524786226
0 24 1 2 14 0 0 1 6 2 34.3390600825425 56.329223745918 -56.3028177417221 660.974938303056 -9.49373136710432 2.309 60 700 675.077032641461
0 24 1 2 15 0 0 2 12 4 7.73818293972334 6.99907168729086 -2.16719416871426 672.696265404185 0.857036325193604 1.257 60 700 686.08527166818
0 24 1 3 1 0 0 1 8 3 8.01345603776147 8.11264505104904 -6.21325476743854 705.00338110473 -2.05733587404185 1.103 60 700 697.017933772152
0 24 1 3 2 0 0 0 4 1 9.13287338688033 12.3413024704857 -12.3413024704857 687.274303941397 -12.0012975077078 0.838 60 700 693.674995945508
0 24 1 3 3 0 0 0 3 1 22.5645123544246 31.7770071756655 -31.7770071756655 689.685965147711 -1.12671126305921 1.153 60 700 692.280290055986
0 24 1 3 4 0 0 1 3 3 23.4961561000777 20.6475399286577 19.776646126755 679.89460927301 -5.32168032689952 0.839 60 700 660.693574964976
0 24 1 3 5 0 0 1 3 2 30.0049087427296 32.8691919457209 -29.9266773219773 704.092855036629 18.9539306311077 1.484 60 700 714.944053755257
0 24 1 3 6 0.5 2 3 16 6 11.6007477474148 12.0923046770207 7.06263149225383 681.263607197841 1.37750055734091 2.285 60 700 680.943463145069
0 24 1 3 7 0 0 1 4 0 23.4909625730184 19.9560562867781 -1.57894373752063 689.445563443881 17.7148256426476 1.083 60 700 693.825626508563
0 24 1 3 8 0 0 4 5 1 6.76349710502425 5.45748413641278 3.70391430106797 627.365711351694 -0.514023524253773 0.796 60 700 653.66658167601
0 24 1 3 9 0.5 1 2 6 3 21.3327350113207 25.2723133143295 -24.3555985043143 661.046273438997 9.10078965889332 1.925 60 700 684.00657891573
0 24 1 3 10 0.666666666666667 0 1 6 2 11.0613800495901 13.011547144886 12.9002481583486 687.377716402838 17.0257156331265 0.962 60 700 685.609947419085
0 24 1 3 11 0 0 1 8 0 13.7973989213918 24.9587888212963 -24.9306034678091 691.525258391333 -6.06770193729898 1.485 60 700 695.156097578091
0 24 1 3 12 0 0 2 5 1 14.9249205366242 17.8767566824314 16.5696899352639 662.860405418592 3.01378969065973 1.389 60 700 669.257050765997
0 24 1 3 13 0 0 2 7 0 16.5150261893453 18.2028669269797 -13.8554562118146 673.864465908893 -8.46649781921934 1.272 60 700 692.257899918809
0 24 1 3 14 0 0 0 1 1 26.5229200720641 41.756148179298 -41.756148179298 646.232300459863 -0.902132115307666 1.171 60 700 667.308024828115
0 24 1 3 15 0 0 1 10 1 6.846963212002 10.748103656358 10.6575975439823 707.655560392317 8.28298532150095 0.854 60 700 681.879754795521
0 24 1 4 1 0 0 0 4 0 11.4796551946619 13.7829903309055 -13.7829903309055 694.071566296128 -0.812932493978376 0.9 60 700 706.085688850865
0 24 1 4 2 0 0 3 6 2 4.17582723059639 4.48621330236959 -3.8221121148214 631.319592815789 0.756126249879145 1.132 60 700 654.652579617617
0 24 1 4 3 0 0 0 4 0 9.45775460156303 13.108683054994 -13.108683054994 685.066126477626 -4.17161275062489 0.817 60 700 680.312428226914
0 24 1 4 4 0 2 1 6 3 29.3235025030253 26.0067630426131 -14.1146095531763 681.170137373032 2.69145893618531 2.273 60 700 692.561188632456
0 24 1 4 5 0 0 1 3 3 13.9355079053423 22.8941819779413 -21.8862856440549 670.294890873661 -21.1839389318055 0.876 60 700 684.480825151443
0 24 1 4 6 0 0 3 4 0 9.55193568574258 8.31758199290341 -1.53579202256111 661.06444467531 -13.8130368175633 0.973 60 700 668.426510545475
