"DeviceNumber" "UserId" "Block" "Sequence" "CircleID" "ErrorRate" "TRE" "TAC" "MDC" "ODC" "MV" "ME" "MO" "ClickPointX" "ClickPointY" "MovementTime" "TargetWidth" "Distance" "CalculatedDistance"
1 24 1 1 1 0 1 0 5 4 11.6671234488654 27.9032192746671 -27.9032192746671 549.754799725498 -16.901484514026 0.908 60 700 554.152506084742
1 24 1 1 2 0 0 2 4 3 23.5169869863624 23.2374433749167 20.7572494684759 699.542107033914 1.68537430604853 0.776 60 700 679.967646289145
1 24 1 1 3 0 0 1 3 2 50.8978711048081 65.7333972327646 -65.7230933482263 287.506480121304 0.154558268074169 0.783 60 700 284.682279041039
1 24 1 1 4 0 1 1 11 2 7.45717710048648 7.47095434468164 4.30412905163839 165.02575260713 -4.06213939326508 1.157 60 700 186.601178988773
1 24 1 1 5 0 0 2 6 0 14.2278613231891 14.2544912979462 -10.9656087560754 454.712725148819 -9.01873537335919 0.639 60 700 449.952219685602
1 24 1 1 6 0 1 2 6 1 14.1191614239472 9.5769151134587 -0.364530049276525 433.178714978989 -8.3785970873212 0.658 60 700 419.401955169501
1 24 1 1 7 0 0 0 1 1 18.1058652960217 40.164781899478 40.164781899478 242.335822658137 16.8032454187807 0.604 60 700 236.799493242701
1 24 1 1 8 0 0 2 3 1 6.37911904325132 6.54684276428461 -6.47143256191536 373.619847638507 -3.49420242384458 0.68 60 700 377.19623540009
1 24 1 1 9 0 0 1 2 1 10.9976635813142 15.3996568594453 14.4457847830191 413.937685128965 13.9854506567913 0.658 60 700 417.004796135488
1 24 1 1 10 0 0 0 1 2 44.6769576226148 59.0228967409068 -59.0228967409068 682.911525011786 -4.45522233748218 0.705 60 700 685.936585990279
1 24 1 1 11 0 0 1 8 0 1.35982413371153 2.54308173265805 2.48133278323888 159.398954693633 1.993299419847 0.505 60 700 184.618525614306
1 24 1 1 12 0 1 1 7 1 7.83334964634184 13.1549645549411 -12.2713081596471 523.623489282784 -7.6447021735726 0.586 60 700 518.005791473416
1 24 1 1 13 0.5 0 3 5 2 4.35131806763777 3.79117896156575 0.290954274702199 286.900431173871 -0.377613886367328 0.93 60 700 301.895677345669
1 24 1 1 14 0 1 1 5 2 10.7710676112624 8.72379160834813 8.3352821885749 652.614018105413 -0.971273549433079 0.616 60 700 672.313171074314
1 24 1 1 15 0 0 1 1 0 2.77313190900654 2.07158588012483 -0.938380144146276 41.2637028719257 -5.50516351232483 0.367 60 700 39.9624824053762
1 24 1 2 1 0 0 1 1 2 26.2493345384745 35.9150806562802 -35.5077215588418 632.574644684307 1.52279431389539 0.629 60 700 645.523818305723
1 24 1 2 2 0 0 0 1 0 23.6531316606774 27.8122217692157 27.8122217692157 650.142778112062 5.94710591217834 0.753 60 700 674.445698333083
1 24 1 2 3 0 0 1 2 2 52.9916476685784 66.4608577462865 -66.3996324397158 674.241227786037 -9.57949652003896 0.762 60 700 677.279853531758
1 24 1 2 4 0 0 1 3 2 69.6021630139989 68.8211878786225 62.9167407042596 668.62990135964 -12.9249761237162 0.65 60 700 681.780756548614
1 24 1 2 5 0 0 1 7 3 47.6714180248213 41.484859666506 -41.3492128703562 685.924110654008 2.84858271914646 1.048 60 700 684.550947702214
1 24 1 2 6 0 0 0 3 1 15.1615420234513 25.5528627026869 25.5528627026869 693.105902861257 2.49146922159275 0.665 60 700 691.158447825099
1 24 1 2 7 0 0 1 3 2 21.7665422820013 29.5875738445513 27.9960825519294 700.513575817394 -6.14248284722791 0.577 60 700 702.321863535516
1 24 1 2 8 0 1 2 4 1 13.2689079310499 15.3479718567048 11.6452366016458 663.89955412158 -6.1953238145266 0.562 60 700 684.064324460792
1 24 1 2 9 0 0 1 4 1 14.4180659914681 16.7425636005189 -13.4227449140173 694.023498899258 -6.95578720430021 0.61 60 700 679.002945501711
1 24 1 2 10 0 1 1 4 1 7.11282633147076 7.76376420118743 -5.5114213556154 691.033082119653 -1.50977356367278 0.651 60 700 699.442635246094
1 24 1 2 11 0 0 0 1 0 9.8556168789749 14.5955879581914 -14.5955879581914 182.999345166839 -18.0066562278588 0.507 60 700 190.262975904404
1 24 1 2 12 0 0 1 3 1 18.8677120790098 20.7334300690694 -17.6217945597323 297.185762073549 8.58037416223539 0.746 60 700 303.133633897659
1 24 1 2 13 0 0 2 5 0 18.1232063173237 12.239561937381 1.83372552436734 694.486454861315 3.54457531490829 0.609 60 700 695.14674709733
1 24 1 2 14 0 0 1 5 0 8.13502808158474 11.7917310019021 -9.78097042689674 701.92047205091 -12.555911588884 0.53 60 700 686.449561147795
1 24 1 2 15 0 0 1 4 0 14.7900640814855 10.8543978513424 -3.19036312350719 602.686572940125 -6.07410879782893 0.555 60 700 583.789345569102
1 24 1 3 1 0 0 1 6 0 8.95872375342005 9.06144727782077 -7.99076367244836 453.946230657188 0.905357460425201 0.585 60 700 463.905162721865
1 24 1 3 2 0 0 1 5 1 9.90212307038033 13.9540355787774 -13.7345400013904 680.523414758687 1.37184735866842 0.611 60 700 677.189043030083
1 24 1 3 3 0 0 0 2 0 5.72511814599431 8.55570597002794 -8.55570597002794 344.007855518173 -3.25504866141414 0.451 60 700 346.538598138793
1 24 1 3 4 0 0 0 2 0 1.84396526545591 5.55087039680825 5.55087039680825 148.733918049577 5.58763112791294 0.354 60 700 136.014705087354
1 24 1 3 5 0 1 0 7 1 4.5556748439096 13.7231610841438 -13.7231610841438 365.761431266023 -11.2949279869368 0.593 60 700 375.832409459323
