"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "rx" "ry" "inside"
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107 671.131879737507 -8.5265128291212e-14 691.773128377668 5.91090979250086 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107 671.131879737507 -8.5265128291212e-14 691.773128377668 5.91090979250086 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107 671.131879737507 -8.5265128291212e-14 691.773128377668 5.91090979250086 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107 671.131879737507 -8.5265128291212e-14 691.773128377668 5.91090979250086 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107 671.131879737507 -8.5265128291212e-14 691.773128377668 5.91090979250086 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107 671.131879737507 -8.5265128291212e-14 691.773128377668 5.91090979250086 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 106 671.131879737507 -8.5265128291212e-14 692.752071592609 5.70677703687377 TRUE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 945 73 671.131879737507 -8.5265128291212e-14 725.465463196934 0.928282531063218 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 949 29 671.131879737507 -8.5265128291212e-14 769.355495676871 -4.13778585676218 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 955 0 671.131879737507 -8.5265128291212e-14 798.969645443938 -4.18397648029821 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 962 0 671.131879737507 -8.5265128291212e-14 800.398574733328 2.66862602429262 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 963 0 671.131879737507 -8.5265128291212e-14 800.602707488955 3.64756923923417 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 964 0 671.131879737507 -8.5265128291212e-14 800.806840244582 4.62651245417572 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 964 0 671.131879737507 -8.5265128291212e-14 800.806840244582 4.62651245417572 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 964 0 671.131879737507 -8.5265128291212e-14 800.806840244582 4.62651245417572 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 959 5 671.131879737507 -8.5265128291212e-14 794.891460391739 0.752460157603366 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 945 29 671.131879737507 -8.5265128291212e-14 768.538964654363 -8.05355871652836 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 942 34 671.131879737507 -8.5265128291212e-14 763.031850312774 -9.96972458321758 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 939 46 671.131879737507 -8.5265128291212e-14 750.672133466594 -10.4569611605172 FALSE
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 937 61 671.131879737507 -8.5265128291212e-14 735.579719731216 -9.35285625599414 FALSE
