"DeviceNumber" "UserId" "Block" "Sequence" "CircleID" "ErrorRate" "TRE" "TAC" "MDC" "ODC" "MV" "ME" "MO" "ClickPointX" "ClickPointY" "MovementTime" "TargetWidth" "Distance" "CalculatedDistance"
2 24 1 4 15 0 0 1 1 0 2.13670594358901 0.818372622917908 -0.186362082446653 701.849562622724 0.437545758787792 1.368 60 700 687.92804856322
2 24 1 5 1 0.5 0 0 1 0 3.27306165112376 2.53168086661881 -2.53168086661881 682.035881299835 -0.23794864416192 0.836 60 700 706.034701696737
2 24 1 5 2 0 0 1 5 0 9.56505589379548 19.1966045300554 -18.8104298920022 646.143270265688 -14.8281586976145 0.71 60 700 663.467406885975
2 24 1 5 3 0 0 1 3 4 35.1195438480639 39.6381848992226 38.8788641471715 681.708321338548 -1.66271397980597 0.915 60 700 680.213201871296
2 24 1 5 4 0 0 2 3 0 3.97415842045861 5.33631661265837 4.71351814557637 683.385954998668 2.76342370238507 0.748 60 700 687.552907055159
2 24 1 5 5 0 0 0 3 0 8.51384105221004 21.5313833195877 21.5313833195877 678.935801585517 20.5955656739889 0.903 60 700 696.509152847254
2 24 1 5 6 0 0 2 5 0 10.6703971013465 13.0545073442201 12.7961676245238 685.241652361224 9.58529442735073 0.805 60 700 673.531736446027
2 24 1 5 7 0 0 0 1 1 6.22230730140651 13.8683415334532 -13.8683415334532 706.944498018554 -8.9149717495184 0.763 60 700 713.070122778959
2 24 1 5 8 0 0 1 2 0 14.983549364844 26.4060133620193 24.7127535088604 684.819448626745 27.7005917366616 0.859 60 700 679.37176862157
2 24 1 5 9 0 0 1 2 3 18.7833449927205 30.5154272911273 30.4186937342765 721.236635984776 20.6570790133507 0.845 60 700 711.475227959484
2 24 1 5 10 0 0 0 5 0 8.90702304658894 14.7603389169189 -14.7603389169189 682.399645543302 -19.7920125903415 1.124 60 700 699.170937611111
2 24 1 5 11 0 0 2 4 2 9.20004326365605 8.59557581274011 4.07666208581434 699.509349472699 -8.46581362191026 0.826 60 700 680.265389388583
2 24 1 5 12 0 0 1 2 2 17.0960171348625 17.3582695763641 17.2430505531079 678.770828051564 0.403715486681733 0.967 60 700 703.465706342534
2 24 1 5 13 0 0 0 3 0 9.93343063488666 13.3109289302475 -13.3109289302475 694.35454784239 -5.81049830830449 0.85 60 700 676.017751246223
2 24 1 5 14 0 0 3 13 0 15.9585739508879 13.0918444380051 -3.15150616225796 699.672826572263 10.7673467660471 1.922 60 700 703.423059047683
2 24 1 5 15 0 0 1 7 0 29.4009104947093 27.7887074172666 -26.7145857547111 687.29019720157 4.14545903697632 1.732 60 700 698.595734312771
2 24 2 1 1 0 0 3 4 0 2.95868272350371 1.81185854161313 0.25792992817534 677.032728977205 -2.16423050502802 0.916 60 700 700.017856915093
2 24 2 1 2 0 0 1 2 1 15.4138341053844 22.8925910996944 -22.0217179813542 674.038407163886 -11.1904275151305 0.847 60 700 664.049696935403
2 24 2 1 3 0 0 0 3 0 22.9087820220655 38.1073747703682 38.1073747703683 697.746481789542 15.7113700967155 0.873 60 700 707.704034183782
2 24 2 1 4 0 0 1 1 2 37.7107153364979 37.255903598481 -25.1923145817675 692.153631484001 18.5566813711146 0.828 60 700 680.294054067798
2 24 2 1 5 0 0 1 6 0 9.82493000305384 10.7197842660545 -10.6326891898301 695.147399539472 -5.20508535079102 1.1 60 700 715.069926650534
2 24 2 1 6 0 1 2 7 6 59.5332065882055 48.8714636325187 -32.2757577570715 673.993452433072 -10.2384606923142 2.366 60 700 665.920415665416
2 24 2 1 7 0 0 1 2 0 5.52615810825831 4.50684576836157 3.72487252876565 732.822254956386 0.736641457590281 0.868 60 700 705.906509390585
2 24 2 1 8 0 0 0 2 1 24.9468548346992 28.1238260550916 -28.1238260550916 729.175164004913 -1.89214122327076 0.87 60 700 713.477399782222
2 24 2 1 9 0 0 1 3 0 3.79834709444735 2.63472014932155 0.47686630099996 721.010342766682 1.04193256590171 0.788 60 700 715.017482303755
