NumberDevice UserId Block NumberClicks NumberCircles DistanceCenter PixelStartCircleX PixelStartCircleY PixelEndCircleX PixelEndCircleY DistanceStartEndCircles TargerWidth ElapsedTime DistanceFirstLastPixel MouseX MouseY
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 762 438
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 787 447
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 787 447
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 812 459
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 812 459
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 812 459
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 896 500
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 896 500
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 922 514
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 922 514
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 922 514
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 956 536
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 956 536
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 956 536
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 972 548
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 972 548
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 983 562
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 983 562
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 983 562
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 990 570
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 990 570
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 990 570
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 993 578
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 993 578
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 581
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 581
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 581
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 584
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 584
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 584
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 589
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 589
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 592
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 592
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 592
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 596
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 596
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 600
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 600
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 605
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 607
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 608
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 608
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 609
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 610
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 611
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 612
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 613
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 614
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 614
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 616
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 617
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 617
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 994 617
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 622
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 995 622
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 996 623
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 997 624
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 997 624
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 999 626
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1000 627
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1000 627
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1000 629
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1000 629
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1001 630
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1001 630
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1002 631
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1003 632
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1003 633
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1003 634
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1003 635
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 635
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 636
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 637
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 638
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 639
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 640
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 641
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 642
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 643
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 644
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 645
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 646
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 647
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 648
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 649
0 0 0 1 16 300 522 335 1012 662 589.0916736807608 50 1339 321.72659200010185 1004 650
