NumberDevice UserId Block NumberClicks NumberCircles DistanceCenter PixelStartCircleX PixelStartCircleY PixelEndCircleX PixelEndCircleY DistanceStartEndCircles TargerWidth ElapsedTime DistanceFirstLastPixel MouseX MouseY
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 773 694
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 774 695
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 774 695
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 776 698
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 776 698
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 778 700
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 778 700
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 778 700
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 780 702
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 780 703
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 780 703
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 781 705
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 781 705
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 781 705
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 782 707
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 782 707
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 784 709
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 784 709
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 785 712
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 785 713
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 785 713
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 785 713
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 786 715
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 786 715
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 787 717
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 787 717
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 789 719
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 790 720
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 790 720
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 792 723
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 792 723
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 793 724
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 793 724
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 794 726
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 794 726
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 794 728
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 794 728
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 796 729
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 796 729
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 797 732
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 797 732
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 798 735
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 798 735
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 798 737
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 798 738
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 798 738
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 799 739
0 0 0 1 16 300 800 150 800 750 600.0 50 639 52.839379254491625 799 740
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 805 625
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 805 625
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 805 625
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 809 558
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 809 558
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 809 558
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 814 521
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 814 521
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 821 476
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 821 476
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 821 476
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 832 421
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 832 421
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 838 399
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 838 399
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 838 399
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 853 354
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 853 354
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 853 354
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 864 328
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 864 328
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 864 328
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 869 317
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 869 317
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 872 308
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 872 308
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 877 298
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 877 298
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 877 298
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 881 291
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 881 291
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 881 291
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 887 281
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 887 281
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 890 277
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 890 277
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 893 272
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 893 272
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 895 269
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 895 269
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 897 267
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 897 267
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 898 266
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 898 265
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 899 265
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 899 265
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 900 263
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 900 263
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 900 263
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 901 258
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 901 258
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 904 253
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 904 253
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 904 253
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 908 240
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 908 240
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 908 240
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 911 230
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 911 230
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 912 219
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 912 219
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 912 219
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 916 200
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 916 200
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 916 200
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 921 180
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 921 180
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 924 174
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 924 174
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 926 166
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 926 166
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 926 166
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 928 162
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 928 162
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 928 160
0 0 0 1 16 300 800 750 914 172 589.1349590713489 50 839 481.2494155840607 929 160
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 899 213
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 887 235
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 887 235
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 867 274
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 867 274
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 867 274
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 845 313
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 845 313
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 813 369
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 813 369
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 813 369
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 779 432
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 779 432
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 779 432
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 750 487
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 750 487
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 738 513
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 738 513
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 738 513
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 715 575
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 715 575
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 709 592
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 709 592
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 709 592
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 698 625
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 698 625
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 698 625
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 693 643
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 693 643
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 690 653
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 690 653
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 690 653
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 687 666
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 687 666
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 687 666
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 683 677
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 683 677
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 683 679
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 683 679
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 683 679
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 681 683
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 681 684
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 681 685
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 680 685
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 680 686
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 680 686
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 679 688
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 678 689
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 678 689
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 678 691
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 677 692
0 0 0 1 16 300 914 172 685 727 600.3882077456219 50 675 549.0072859261523 677 693
