"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "x" "y" "rx" "ry"
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 824 554.152506084742 5.50670620214078e-14 7 578 577.676716219788 -20.5575177860116
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 824 554.152506084742 5.50670620214078e-14 7 578 577.676716219788 -20.5575177860116
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 818 554.152506084742 5.50670620214078e-14 7 572 571.678367455682 -20.4167623095975
1 24 1 1 1 16 1 350 799 100 800 800 60 908 822 815 554.152506084742 5.50670620214078e-14 9 569 568.63227458149 -22.345834159426
1 24 1 1 1 16 1 350 799 100 800 800 60 908 826 808 554.152506084742 5.50670620214078e-14 13 562 561.54036403909 -26.180518613014
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 805 554.152506084742 5.50670620214078e-14 14 559 558.517730410968 -27.1098656688248
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 794 554.152506084742 5.50670620214078e-14 14 548 547.520757676772 -26.8518139620657
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 790 554.152506084742 5.50670620214078e-14 14 544 543.521858500701 -26.7579769777897
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 14 542 541.522408912665 -26.7110584856516
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 14 542 541.522408912665 -26.7110584856516
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 14 542 541.522408912665 -26.7110584856516
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 14 542 541.522408912665 -26.7110584856516
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 794 554.152506084742 5.50670620214078e-14 7 548 547.684972399255 -19.8537404039413
1 24 1 1 1 16 1 350 799 100 800 800 60 908 818 795 554.152506084742 5.50670620214078e-14 5 549 548.731615685411 -17.8777500619748
1 24 1 1 1 16 1 350 799 100 800 800 60 908 817 796 554.152506084742 5.50670620214078e-14 4 550 549.754799725498 -16.901484514026
1 24 1 1 1 16 2 350 800 800 933 126 60 776 817 796 679.967646289145 2.8421709430404e-14 0 0 0 0
1 24 1 1 1 16 2 350 800 800 933 126 60 776 974 266 554.152506084742 5.50670620214078e-14 157 -530 549.014356840818 64.2824702594939
1 24 1 1 1 16 2 350 800 800 933 126 60 776 974 266 554.152506084742 5.50670620214078e-14 157 -530 549.014356840818 64.2824702594939
1 24 1 1 1 16 2 350 800 800 933 126 60 776 970 266 554.152506084742 5.50670620214078e-14 153 -530 548.331971432436 60.341106262801
1 24 1 1 1 16 2 350 800 800 933 126 60 776 956 264 554.152506084742 5.50670620214078e-14 139 -532 547.914304501443 46.2051395701848
1 24 1 1 1 16 2 350 800 800 933 126 60 776 944 261 554.152506084742 5.50670620214078e-14 127 -535 548.823171273815 33.8692585238194
1 24 1 1 1 16 2 350 800 800 933 126 60 776 943 259 554.152506084742 5.50670620214078e-14 126 -537 550.623256920065 32.5427248204549
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 251 554.152506084742 5.50670620214078e-14 121 -545 557.653003152973 26.2512490078235
1 24 1 1 1 16 2 350 800 800 933 126 60 776 935 242 554.152506084742 5.50670620214078e-14 118 -554 566.009283089244 21.759858841443
1 24 1 1 1 16 2 350 800 800 933 126 60 776 963 92 554.152506084742 5.50670620214078e-14 146 -704 718.587130823904 23.7599540039438
1 24 1 1 1 16 2 350 800 800 933 126 60 776 987 25 554.152506084742 5.50670620214078e-14 170 -771 788.699290218805 35.9781823936916
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11 554.152506084742 5.50670620214078e-14 178 -785 803.858835023995 41.472561457738
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11 554.152506084742 5.50670620214078e-14 178 -785 803.858835023995 41.472561457738
